,6zsl_A_fpocket,6zsl_B_fpocket,6zsl_A_p2rank,6zsl_B_p2rank,IoU
4598,18,3,3,3,0.02449
1373,4,13,2,1,0.02449
2855,9,1,3,3,0.02449
1973,6,6,3,2,0.02438
4881,19,19,3,3,0.02438
2789,8,27,3,3,0.02438
469,2,3,5,6,0.02438
4028,14,25,9,11,0.02438
4467,17,13,5,6,0.02438
3398,11,11,10,10,0.02438
2870,9,3,3,3,0.02429
6209,27,10,1,4,0.02428
2474,8,2,5,6,0.0242
1785,5,21,3,3,0.0242
2206,7,2,5,6,0.0242
3625,13,2,6,7,0.0242
4660,18,14,3,3,0.02415
5848,25,14,9,11,0.02415
6760,34,3,1,2,0.02415
6752,34,2,2,1,0.02415
2203,7,2,4,1,0.0241
3637,13,3,6,7,0.0241
2595,8,8,12,13,0.0241
544,2,7,5,6,0.0241
2463,8,2,1,4,0.0241
1982,6,6,10,10,0.0241
2575,8,8,1,9,0.0241
4213,15,26,3,3,0.02403
5595,24,6,3,3,0.024
3623,13,2,5,6,0.024
541,2,7,4,1,0.024
6170,27,5,3,3,0.024
6271,27,27,9,11,0.024
2181,6,37,3,3,0.02396
4445,17,8,13,9,0.02393
4440,17,8,5,6,0.02393
6777,34,5,1,2,0.02393
6763,34,3,2,1,0.02393
3635,13,3,5,6,0.02391
1035,3,13,6,7,0.02391
730,2,24,3,3,0.0239
6048,26,21,13,9,0.0238
957,3,7,5,6,0.0238
623,2,13,6,7,0.0238
1563,5,3,4,1,0.0238
1710,5,13,4,1,0.0238
1968,6,6,1,3,0.0238
2148,6,27,9,11,0.0238
5673,24,16,3,3,0.0238
3729,13,13,7,8,0.0238
3731,13,13,9,11,0.0238
95,1,6,1,4,0.0238
2587,8,8,6,3,0.0238
6749,34,2,1,2,0.0238
1028,3,13,2,1,0.0238
4379,16,27,9,11,0.0238
2892,9,6,3,3,0.0238
1240,4,1,1,4,0.02373
952,3,7,3,3,0.02371
615,2,13,2,1,0.02371
551,2,8,1,4,0.02371
562,2,8,5,6,0.02371
341,1,27,3,3,0.02371
4588,18,2,3,3,0.02371
1033,3,13,5,6,0.02371
4419,17,4,13,9,0.0237
3240,10,21,3,3,0.0237
22,1,1,13,9,0.0237
4142,15,11,10,10,0.02367
3823,13,32,7,8,0.02362
4879,19,19,1,14,0.02362
621,2,13,5,6,0.02362
2220,7,3,5,6,0.02362
1118,3,21,13,9,0.02362
6748,34,1,12,13,0.02359
67,1,4,1,4,0.02357
1897,6,1,1,4,0.02353
6039,26,18,13,9,0.02353
954,3,7,4,1,0.02353
2249,7,6,3,3,0.02344
2238,7,5,3,3,0.02344
4744,19,1,1,4,0.02344
3947,14,12,12,13,0.02339
5630,24,10,1,2,0.02336
3114,10,7,4,1,0.02336
4021,14,24,9,11,0.02336
3896,14,5,3,3,0.02335
2217,7,3,4,1,0.02335
1295,4,4,5,6,0.02325
1400,4,17,13,9,0.02325
4523,17,24,13,9,0.02325
6678,32,13,7,8,0.02325
6903,34,31,3,3,0.02325
5010,21,5,13,9,0.02325
1286,4,4,1,9,0.02325
1479,4,27,1,2,0.02325
933,3,6,1,4,0.02325
4336,16,18,3,3,0.02325
6915,34,34,1,4,0.02325
5202,22,7,7,8,0.02325
4989,21,3,13,9,0.02316
3066,10,4,2,1,0.02315
5354,23,4,1,4,0.02315
5635,24,10,3,3,0.02315
6383,28,24,9,11,0.02312
5247,22,17,5,6,0.02307
3610,13,1,6,7,0.02307
6513,29,17,7,8,0.02307
6780,34,5,2,1,0.02304
6736,34,1,1,2,0.02304
3064,10,4,1,4,0.02304
1954,6,5,1,4,0.023
6734,32,34,12,13,0.023
257,1,19,1,4,0.023
1359,4,10,2,1,0.02293
6253,27,23,1,4,0.02293
167,1,10,6,7,0.0229
157,1,10,1,4,0.0229
6516,29,17,12,13,0.0229
1929,6,3,1,4,0.0229
5197,22,7,4,1,0.02286
5232,22,13,4,1,0.02286
6139,27,2,3,3,0.02281
6151,27,3,3,3,0.02281
6080,26,26,5,6,0.02272
6689,32,17,7,6,0.02272
4483,17,17,7,6,0.02272
6693,32,17,12,13,0.02272
6918,34,34,3,2,0.02272
5266,22,22,4,5,0.02272
2742,8,23,1,4,0.02272
1214,3,34,1,2,0.02272
3017,10,1,6,7,0.02264
2142,6,27,1,4,0.02263
2090,6,19,1,4,0.02263
3276,10,24,3,3,0.02263
3314,10,34,1,2,0.0226
2356,7,22,2,1,0.0226
2359,7,22,4,1,0.0226
1617,5,6,1,4,0.02255
1217,3,34,2,1,0.02252
521,2,6,1,4,0.02248
4102,15,5,3,3,0.02248
2863,9,2,3,3,0.02248
6908,34,32,12,13,0.02248
2290,7,10,4,1,0.02242
5398,23,8,1,4,0.02242
5502,23,27,1,4,0.02242
5983,26,10,3,3,0.02242
6451,29,6,12,13,0.02242
2283,7,9,3,3,0.02242
6176,27,6,1,4,0.02242
482,2,4,1,4,0.02238
1252,4,2,1,4,0.02238
2265,7,7,7,8,0.02238
1844,5,26,3,3,0.02238
3370,11,7,7,8,0.02234
2987,9,26,13,9,0.02234
3300,10,27,1,2,0.02232
1220,3,34,3,3,0.02232
3662,13,6,12,13,0.02232
792,2,34,2,1,0.02232
5582,24,5,3,3,0.02231
1914,6,2,1,4,0.02231
4333,16,16,6,3,0.02222
5690,24,18,3,3,0.02222
5275,22,22,12,13,0.02222
2846,8,37,3,3,0.02222
4486,17,17,9,11,0.02222
1692,5,10,6,7,0.02222
1822,5,24,3,3,0.02214
3349,11,3,5,6,0.02214
4802,19,6,1,4,0.02213
1291,4,4,3,3,0.0221
5682,24,17,13,9,0.0221
4466,17,12,12,13,0.02206
1752,5,17,13,9,0.02203
3271,10,24,1,2,0.02203
789,2,34,1,2,0.02203
2133,6,25,9,11,0.02203
6936,34,37,3,2,0.02197
5269,22,22,7,6,0.02197
4053,14,29,12,13,0.02197
5978,26,9,13,9,0.02197
2664,8,14,3,3,0.02193
1946,6,4,1,4,0.0219
2268,7,7,8,5,0.0219
2163,6,34,1,2,0.02185
3078,10,5,1,4,0.02184
498,2,5,1,4,0.02182
392,1,34,12,13,0.02174
6912,34,33,12,13,0.02174
6038,26,18,3,3,0.02174
5291,22,29,7,8,0.02174
1532,5,2,1,4,0.02167
2561,8,7,2,1,0.02165
3344,11,2,5,6,0.02158
766,2,27,3,3,0.02158
1447,4,23,1,4,0.02155
3123,10,8,1,4,0.02155
191,1,13,6,7,0.0215
4698,18,21,3,3,0.0215
7040,37,6,3,3,0.0215
7102,37,34,3,2,0.0215
967,3,8,2,1,0.02145
2109,6,23,1,4,0.02145
1001,3,10,2,1,0.02145
6533,29,22,7,8,0.02142
3721,13,13,3,3,0.02142
4544,17,29,7,8,0.02142
6099,26,32,5,6,0.02142
5853,25,15,3,3,0.0214
3919,14,8,3,3,0.02136
26,1,2,1,4,0.02135
409,2,1,1,4,0.02135
3583,12,29,7,8,0.02127
381,1,34,1,2,0.02127
6191,27,8,1,4,0.02127
5145,21,26,13,9,0.02127
2822,8,33,5,6,0.02127
4547,17,29,12,13,0.02127
5904,25,29,10,10,0.02127
3955,14,14,1,4,0.02127
3759,13,17,7,8,0.02127
2357,7,22,3,3,0.02127
4434,17,7,7,8,0.02127
1086,3,18,2,1,0.02127
6106,26,33,5,6,0.02127
3829,13,33,7,8,0.02127
6808,34,8,2,1,0.02116
6683,32,14,7,8,0.02113
3762,13,17,12,13,0.02113
3832,13,33,12,13,0.02113
607,2,11,5,6,0.02113
2908,9,9,1,14,0.02113
5080,21,17,13,9,0.02113
1020,3,11,5,6,0.02113
4507,17,22,5,6,0.02113
6704,32,26,5,6,0.02113
2489,8,3,2,1,0.0211
2124,6,24,9,11,0.0211
3227,10,19,1,4,0.02106
1508,4,37,1,2,0.02106
588,2,10,2,1,0.02101
3043,10,3,1,4,0.02101
3046,10,3,2,1,0.02101
5817,25,6,9,11,0.02101
4753,19,2,1,4,0.02101
3827,13,33,5,6,0.02098
6293,27,37,1,2,0.02098
4831,19,10,1,2,0.02094
6067,26,24,13,9,0.02094
7054,37,8,3,3,0.02094
5866,25,18,3,3,0.02094
3099,10,6,1,4,0.02092
6159,27,4,1,4,0.02092
5257,22,18,13,9,0.02083
3530,12,12,9,11,0.02083
3592,12,32,12,13,0.02083
5169,22,2,4,1,0.02083
3025,10,2,2,1,0.02083
2007,6,9,1,2,0.02083
4726,18,26,13,9,0.02083
5733,24,24,9,11,0.02083
2273,7,8,2,1,0.02083
1319,4,6,1,4,0.02077
677,2,19,1,4,0.02075
153,1,9,13,9,0.02075
5367,23,5,1,4,0.02075
5435,23,13,5,6,0.02072
3440,11,23,5,6,0.02072
3780,13,23,5,6,0.02072
1436,4,22,2,1,0.02072
1595,5,5,1,9,0.02072
6113,26,34,7,8,0.02069
6882,34,26,7,8,0.02069
6273,27,28,9,11,0.02069
1079,3,17,13,9,0.02066
4414,17,3,13,9,0.02066
7020,37,4,1,2,0.02061
4653,18,10,3,3,0.02061
871,3,3,3,2,0.02061
4425,17,5,13,9,0.02057
1125,3,22,3,3,0.02057
6486,29,12,7,8,0.02055
867,3,3,1,9,0.02051
705,2,22,4,1,0.0205
2857,9,1,13,9,0.0204
6298,27,37,3,3,0.0204
3160,10,10,5,6,0.0204
2914,9,10,1,2,0.0204
6914,34,34,1,3,0.0204
6123,27,1,1,4,0.0204
2038,6,12,10,10,0.0204
5481,23,23,1,9,0.0204
436,2,2,3,2,0.0204
3022,10,2,1,4,0.0204
5460,23,19,1,4,0.0204
6166,27,5,1,4,0.02032
6414,29,1,13,9,0.02032
3495,12,2,12,13,0.02032
2785,8,27,1,4,0.02032
2829,8,34,2,1,0.02031
6242,27,19,1,4,0.02031
6058,26,22,13,9,0.02026
3404,11,12,10,10,0.02026
5382,23,6,1,4,0.02025
643,2,14,12,13,0.02025
670,2,18,2,1,0.02025
3952,14,13,12,13,0.0202
880,3,3,6,3,0.0202
6185,27,7,2,1,0.0202
5126,21,24,3,3,0.0202
864,3,3,1,3,0.0202
5836,25,11,10,10,0.0202
703,2,22,3,3,0.02016
6398,28,29,9,11,0.02014
3259,10,23,1,4,0.0201
5143,21,26,3,3,0.0201
2068,6,15,10,10,0.0201
1805,5,23,1,4,0.02008
3629,13,2,12,13,0.02008
5342,23,3,1,4,0.02008
2467,8,2,2,1,0.02008
109,1,6,12,13,0.02008
5069,21,15,3,3,0.02
3329,10,37,3,3,0.02
4505,17,21,13,9,0.02
1340,4,8,2,1,0.02
3526,12,12,6,7,0.02
445,2,2,6,3,0.02
3527,12,12,6,13,0.02
3164,10,10,8,1,0.02
1607,5,5,6,3,0.0199
2918,9,10,3,3,0.0199
1597,5,5,2,1,0.0199
887,3,3,12,13,0.0199
6885,34,26,12,13,0.01987
4908,19,22,8,5,0.01987
922,3,5,5,6,0.01984
2511,8,4,2,1,0.01984
4557,17,32,12,13,0.0198
4553,17,32,7,6,0.0198
6697,32,22,7,6,0.0198
6933,34,37,1,3,0.0198
1566,5,3,5,6,0.01976
629,2,13,12,13,0.01976
449,2,2,8,5,0.0197
555,2,8,2,1,0.01968
2240,7,5,4,1,0.01968
1725,5,14,3,3,0.0196
5299,22,32,7,6,0.0196
5258,22,19,2,1,0.0196
429,2,2,1,3,0.0196
4704,18,22,13,9,0.0196
6597,30,30,10,10,0.0196
3328,10,37,3,2,0.0196
6344,28,9,9,11,0.0196
6422,29,2,12,13,0.01953
5261,22,19,8,1,0.01949
5484,23,23,3,3,0.01949
3575,12,26,12,13,0.01949
282,1,22,3,3,0.01945
2525,8,5,2,1,0.01945
2899,9,8,1,9,0.01942
5964,26,7,7,8,0.01942
4884,19,19,4,5,0.01942
7099,37,34,1,3,0.01942
6011,26,14,3,3,0.01942
3930,14,9,3,3,0.01942
2898,9,8,1,4,0.01942
2897,9,8,1,2,0.01942
3519,12,8,12,13,0.01942
1413,4,19,1,2,0.01942
3525,12,12,5,6,0.01942
3593,12,33,5,6,0.01942
6701,32,22,12,13,0.01942
5753,24,26,13,9,0.01942
338,1,27,1,4,0.01938
1481,4,27,1,4,0.01938
5327,23,2,1,4,0.01938
6051,26,22,5,6,0.01935
2409,7,32,7,8,0.01935
6278,27,34,1,2,0.01935
4933,19,27,1,4,0.01932
6211,27,10,3,3,0.01932
367,1,29,13,9,0.0193
1850,5,27,1,2,0.0193
1851,5,27,1,4,0.0193
2992,9,28,1,14,0.01923
5303,22,32,12,13,0.01923
2333,7,16,3,3,0.01923
1135,3,23,1,4,0.01923
6567,29,29,6,13,0.01923
2966,9,22,13,9,0.01923
13,1,1,6,3,0.01923
6147,27,3,1,4,0.01915
3686,13,8,12,13,0.01913
4777,19,4,1,2,0.01913
2644,8,12,12,13,0.01913
2106,6,22,3,3,0.01913
5882,25,24,9,11,0.01913
6467,29,8,12,13,0.01913
6026,26,17,5,6,0.0191
6049,26,22,3,3,0.0191
3811,13,28,9,11,0.0191
5289,22,26,13,9,0.0191
141,1,8,13,9,0.01909
4116,15,6,10,10,0.01904
1233,3,37,3,3,0.01904
5263,22,21,13,9,0.01898
4902,19,22,2,1,0.01898
2416,7,33,7,8,0.01898
5523,23,37,3,3,0.01898
5429,23,11,5,6,0.01895
4280,16,7,3,3,0.01895
2459,8,1,13,9,0.01894
2888,9,6,1,2,0.01888
4910,19,23,1,4,0.01888
3545,12,14,7,8,0.01888
5135,21,25,3,3,0.01888
3008,10,1,1,4,0.01888
5759,24,28,9,11,0.01888
5393,23,7,5,6,0.01888
3325,10,37,1,3,0.01888
7,1,1,3,2,0.01878
1,1,1,1,3,0.01878
2423,7,34,3,3,0.01875
4907,19,22,8,1,0.01875
1296,4,4,8,1,0.01875
613,2,12,12,13,0.01872
5576,24,5,1,2,0.01872
6135,27,2,1,4,0.01872
7032,37,5,3,3,0.01869
18,1,1,9,11,0.01869
3111,10,7,2,1,0.01869
5310,22,33,12,13,0.01869
6798,34,7,3,3,0.01863
6886,34,27,1,2,0.01863
7017,37,3,3,3,0.0186
2394,7,27,2,1,0.0186
5552,24,3,1,2,0.01859
4469,17,13,7,8,0.01852
810,2,37,3,3,0.01852
7061,37,10,3,2,0.01852
2748,8,23,5,6,0.01852
4,1,1,1,9,0.01852
4221,15,31,10,10,0.01852
835,3,1,13,9,0.01845
5959,26,7,3,3,0.01843
3174,10,13,2,1,0.01843
2551,8,6,6,3,0.01843
2895,9,7,3,3,0.01843
4937,19,28,1,14,0.0184
4472,17,13,12,13,0.0184
5512,23,34,1,2,0.0184
5236,22,13,7,8,0.0184
3770,13,21,9,11,0.0184
7062,37,10,3,3,0.0184
5950,26,5,3,3,0.01839
782,2,29,12,13,0.01839
4889,19,19,13,9,0.01834
2600,8,9,1,9,0.01834
7008,37,2,3,3,0.01834
3112,10,7,3,3,0.01834
5306,22,33,7,6,0.01834
2811,8,29,12,13,0.01834
2598,8,9,1,2,0.01834
7058,37,10,1,3,0.0183
5282,22,26,5,6,0.0183
6821,34,10,3,3,0.0183
5115,21,22,13,9,0.0183
3304,10,27,3,3,0.01826
712,2,23,1,4,0.01825
6873,34,22,12,13,0.01819
2576,8,8,1,14,0.01819
2944,9,18,3,3,0.01819
3714,13,12,7,8,0.01819
5219,22,11,5,6,0.01819
1145,3,24,1,2,0.01819
63,1,3,13,9,0.01819
4887,19,19,9,11,0.01819
511,2,5,5,6,0.01811
1184,3,27,1,4,0.01811
2089,6,19,1,2,0.0181
2599,8,9,1,4,0.0181
2657,8,13,12,13,0.0181
2557,8,6,12,13,0.0181
2706,8,18,3,3,0.0181
5404,23,8,5,6,0.0181
2180,6,37,3,2,0.01807
3537,12,13,7,8,0.01807
4350,16,22,3,3,0.01807
2593,8,8,10,10,0.01807
5318,23,1,1,4,0.01805
1528,5,1,13,9,0.01805
6675,32,12,12,13,0.01802
2025,6,10,3,2,0.01802
1544,5,2,5,6,0.01799
1188,3,27,3,3,0.01799
3431,11,22,5,6,0.01796
6874,34,23,1,2,0.01796
7092,37,27,1,2,0.01796
3775,13,22,7,8,0.01796
2287,7,10,2,1,0.01794
2672,8,14,12,13,0.01794
2667,8,14,6,7,0.01794
5846,25,14,3,3,0.01794
4903,19,22,3,3,0.01785
1797,5,22,4,1,0.01785
2942,9,18,1,9,0.01785
4020,14,24,3,3,0.01785
352,1,28,9,11,0.01785
2874,9,4,1,2,0.01785
2875,9,4,1,4,0.01785
1766,5,19,1,2,0.01785
6586,29,34,7,8,0.01785
2001,6,8,6,7,0.01785
2876,9,4,1,9,0.01785
42,1,2,12,13,0.01779
762,2,27,1,4,0.01779
426,2,1,12,13,0.01779
2020,6,10,1,3,0.01778
4120,15,8,3,3,0.01778
2000,6,8,6,3,0.01778
3815,13,29,7,8,0.01775
2579,8,8,3,2,0.01775
5660,24,14,3,3,0.0177
2288,7,10,3,3,0.0177
3302,10,27,1,4,0.0177
4801,19,6,1,2,0.0177
2177,6,37,1,3,0.01765
5243,22,14,7,8,0.01765
3318,10,34,3,3,0.01765
3813,13,29,6,7,0.01765
2134,6,25,10,10,0.01762
6305,28,1,9,11,0.01762
2031,6,10,6,7,0.01762
5539,24,2,1,2,0.01761
6857,34,17,12,13,0.01755
3421,11,15,10,10,0.01755
91,1,5,13,9,0.01755
7097,37,27,3,3,0.01755
6579,29,32,12,13,0.01755
2030,6,10,6,3,0.01755
6369,28,19,1,14,0.01755
2625,8,10,6,3,0.01755
6160,27,4,2,1,0.01755
6342,28,9,1,14,0.01755
2374,7,23,5,6,0.01747
1691,5,10,6,3,0.01747
5189,22,5,4,1,0.01747
2384,7,26,3,3,0.01747
2936,9,17,1,9,0.01744
5710,24,21,9,11,0.01744
2572,8,8,1,3,0.01744
2948,9,19,1,4,0.01744
4297,16,9,9,11,0.01744
3251,10,22,3,3,0.01744
5199,22,7,5,6,0.01744
1287,4,4,1,14,0.01744
5314,22,34,12,13,0.0174
4637,18,8,3,3,0.0174
4815,19,8,1,2,0.0174
2563,8,7,3,3,0.0174
4564,17,33,12,13,0.0174
1093,3,19,1,2,0.0174
3077,10,5,1,3,0.0174
6092,26,29,7,8,0.01733
4368,16,25,9,11,0.01733
4382,16,29,9,11,0.01733
2364,7,22,7,8,0.01733
2361,7,22,5,6,0.01733
4527,17,26,5,6,0.01733
2951,9,19,3,3,0.01733
5154,21,29,9,11,0.01733
4872,19,18,2,1,0.01733
3082,10,5,3,2,0.01732
402,1,37,3,3,0.01732
4763,19,3,1,2,0.01732
4398,16,38,3,12,0.01724
1580,5,4,2,1,0.01724
2710,8,19,1,2,0.01724
6097,26,29,13,9,0.01724
2950,9,19,1,14,0.01724
965,3,8,1,9,0.01724
3134,10,8,6,3,0.01724
6739,34,1,2,1,0.01724
2964,9,22,3,3,0.01724
4560,17,33,7,6,0.01724
1248,4,1,13,9,0.01718
6999,37,1,3,3,0.01717
996,3,10,1,3,0.01717
1002,3,10,3,2,0.01717
2231,7,4,5,6,0.01717
1681,5,10,2,1,0.01717
1011,3,10,6,3,0.01717
4375,16,27,3,3,0.01714
5196,22,7,2,1,0.01714
4474,17,14,7,8,0.01714
3741,13,14,9,11,0.01714
5213,22,9,13,9,0.01714
5231,22,13,2,1,0.01714
4478,17,14,12,13,0.01714
291,1,23,1,4,0.01712
1332,4,7,5,6,0.01709
4397,16,38,3,3,0.01709
5108,21,21,5,6,0.01709
74,1,4,13,9,0.01706
7088,37,23,3,3,0.01704
845,3,2,3,2,0.01703
975,3,8,6,3,0.01703
3091,10,5,6,3,0.01703
6715,32,29,12,13,0.01695
6551,29,26,7,8,0.01695
725,2,24,1,2,0.01695
1663,5,9,1,2,0.01695
1664,5,9,1,4,0.01695
3081,10,5,2,1,0.01695
2845,8,37,3,2,0.01695
5175,22,3,4,1,0.01695
1665,5,9,1,9,0.01695
4788,19,5,1,2,0.01695
3101,10,6,3,2,0.01695
6494,29,13,7,8,0.01695
2487,8,3,1,9,0.01695
254,1,18,13,9,0.01688
893,3,4,1,9,0.01688
980,3,8,12,13,0.01688
1761,5,18,3,3,0.01688
3106,10,6,6,3,0.01688
6554,29,26,12,13,0.01686
6555,29,26,13,9,0.01686
6492,29,13,6,7,0.01686
5715,24,22,13,9,0.01686
5818,25,6,10,10,0.0168
1127,3,22,4,1,0.0168
1578,5,4,1,9,0.0168
4580,18,1,13,9,0.0168
1123,3,22,2,1,0.0168
5974,26,8,13,9,0.0168
2275,7,8,3,3,0.0168
4752,19,2,1,2,0.0168
589,2,10,3,2,0.0168
3056,10,3,6,3,0.0168
3047,10,3,3,2,0.0168
3042,10,3,1,3,0.0168
598,2,10,6,3,0.0168
6504,29,14,7,8,0.01675
6794,34,6,12,13,0.01675
6502,29,14,6,7,0.01675
3249,10,22,2,1,0.01675
3255,10,22,8,1,0.01675
854,3,2,6,3,0.01674
1303,4,5,1,9,0.01674
3098,10,6,1,3,0.01674
2498,8,3,6,3,0.01674
838,3,2,1,3,0.01674
462,2,3,3,2,0.01674
601,2,10,8,5,0.01674
3035,10,2,6,3,0.01666
5058,21,13,9,11,0.01666
6351,28,13,9,11,0.01666
5900,25,27,9,11,0.01666
3026,10,2,3,2,0.01666
3737,13,14,6,7,0.01666
5814,25,6,3,3,0.01666
6721,32,32,7,13,0.01666
2841,8,37,1,3,0.01666
1269,4,3,1,9,0.01666
6722,32,32,12,8,0.01666
861,3,2,12,13,0.0166
685,2,19,8,5,0.0166
2503,8,3,12,13,0.0166
676,2,19,1,2,0.0166
583,2,10,1,3,0.0166
3038,10,2,8,5,0.0166
6431,29,3,12,13,0.0166
5945,26,4,13,9,0.0166
4052,14,29,9,11,0.01657
1657,5,8,6,3,0.01653
3395,11,11,7,6,0.01653
898,3,4,3,3,0.01653
4827,19,9,3,3,0.01648
5037,21,9,9,11,0.01648
3739,13,14,7,8,0.01648
4313,16,13,9,11,0.01648
212,1,14,9,11,0.01646
5375,23,5,5,6,0.01646
2882,9,5,1,9,0.01646
471,2,3,6,3,0.01646
208,1,14,6,7,0.01646
2881,9,5,1,4,0.01646
2880,9,5,1,2,0.01646
5173,22,2,8,5,0.01646
2868,9,3,1,9,0.01646
2867,9,3,1,4,0.01646
2866,9,3,1,2,0.01646
1308,4,5,3,3,0.01646
455,2,3,1,3,0.01646
3500,12,3,12,13,0.01639
3021,10,2,1,3,0.01639
701,2,22,2,1,0.01639
1647,5,8,1,9,0.01639
5986,26,11,5,6,0.01639
902,3,4,5,6,0.01639
4164,15,15,9,11,0.01639
4569,17,34,12,13,0.01639
1714,5,13,6,7,0.01639
3471,11,33,7,6,0.01639
1274,4,3,3,3,0.01639
2782,8,26,13,9,0.01639
1635,5,7,4,1,0.01633
478,2,3,12,13,0.01633
3853,14,1,9,11,0.01633
3854,14,1,12,13,0.01633
2884,9,5,3,3,0.01633
3756,13,16,9,11,0.01631
143,1,9,1,2,0.01627
145,1,9,1,9,0.01627
144,1,9,1,4,0.01627
3216,10,18,1,2,0.01622
2997,9,29,1,9,0.01622
7039,37,6,3,2,0.01622
5907,25,31,10,10,0.01622
5860,25,16,9,11,0.01622
1482,4,27,2,1,0.01619
1278,4,3,5,6,0.01619
1349,4,9,1,4,0.01619
1050,3,14,6,7,0.01619
1348,4,9,1,2,0.01619
3353,11,4,5,6,0.01619
1350,4,9,1,9,0.01619
1376,4,13,5,6,0.01619
4234,16,1,9,11,0.01619
1811,5,23,5,6,0.01619
709,2,22,8,5,0.01619
639,2,14,6,7,0.01619
1054,3,14,12,13,0.01619
5281,22,24,13,9,0.01613
2016,6,9,9,11,0.01613
6718,32,32,5,8,0.01613
6192,27,8,2,1,0.01613
2304,7,11,7,8,0.01613
6234,27,16,3,3,0.01613
2523,8,5,1,9,0.01607
2534,8,5,6,3,0.01607
107,1,6,9,11,0.01607
3643,13,4,5,6,0.01607
6244,27,21,9,11,0.01604
5769,24,31,10,10,0.01604
2851,9,1,1,2,0.016
2853,9,1,1,9,0.016
1345,4,8,5,6,0.016
104,1,6,6,3,0.016
1633,5,7,3,3,0.016
3641,13,3,12,13,0.016
2852,9,1,1,4,0.016
4334,16,16,6,7,0.016
4163,15,15,6,7,0.016
7053,37,8,3,2,0.01596
5187,22,4,13,9,0.01596
5185,22,4,8,1,0.01596
5181,22,4,2,1,0.01596
2338,7,17,7,8,0.01596
1906,6,1,6,3,0.01593
908,3,5,1,3,0.01593
911,3,5,1,9,0.01593
915,3,5,3,2,0.01593
4619,18,5,3,3,0.01593
924,3,5,6,3,0.01593
1909,6,1,9,11,0.01593
1907,6,1,6,7,0.01593
1556,5,3,1,9,0.01587
1558,5,3,2,1,0.01587
7111,37,37,6,2,0.01587
7106,37,37,1,4,0.01587
5765,24,29,10,10,0.01587
1040,3,13,12,13,0.01587
2516,8,4,5,6,0.01587
7036,37,6,1,3,0.01587
1568,5,3,6,3,0.01587
4824,19,9,1,4,0.01587
99,1,6,3,2,0.01587
2476,8,2,6,3,0.01587
6087,26,26,12,13,0.01587
3447,11,26,5,6,0.01587
1208,3,29,12,13,0.01587
2481,8,2,12,13,0.01581
94,1,6,1,3,0.01581
2969,9,23,1,9,0.0158
2967,9,23,1,2,0.0158
3226,10,19,1,2,0.0158
4648,18,10,1,2,0.0158
5217,22,10,8,1,0.0158
6226,27,14,9,11,0.0158
5214,22,10,2,1,0.0158
2911,9,9,10,10,0.01575
6899,34,29,7,8,0.01575
6167,27,5,2,1,0.01575
5249,22,17,7,6,0.01575
1338,4,8,1,9,0.01575
5253,22,17,12,13,0.01575
4308,16,13,3,3,0.0157
6771,34,4,1,2,0.0157
7049,37,8,1,3,0.0157
4840,19,10,8,5,0.0157
4447,17,9,1,9,0.0157
4826,19,9,1,14,0.0157
4406,17,1,13,9,0.01569
1901,6,1,3,2,0.01569
1896,6,1,1,3,0.01569
3233,10,19,8,1,0.01563
4743,19,1,1,2,0.01563
5035,21,9,3,3,0.01563
3228,10,19,2,1,0.01563
2509,8,4,1,9,0.01563
3826,13,32,12,13,0.01563
3554,12,17,9,11,0.01563
3651,13,5,6,7,0.01563
4362,16,24,9,11,0.01563
4332,16,16,3,12,0.01563
3727,13,13,6,13,0.01563
2767,8,25,3,3,0.01563
6040,26,19,3,3,0.01563
2786,8,27,2,1,0.01563
1478,4,26,13,9,0.01563
983,3,9,1,2,0.015564
564,2,8,6,3,0.015564
984,3,9,1,4,0.015564
985,3,9,1,9,0.015564
1596,5,5,1,14,0.01554
3751,13,16,3,3,0.01554
6471,29,9,1,9,0.01554
1444,4,22,13,9,0.01554
1442,4,22,8,1,0.01554
4643,18,9,1,9,0.01554
941,3,6,6,3,0.0155
6082,26,26,7,6,0.0155
569,2,8,12,13,0.0155
932,3,6,1,3,0.0155
937,3,6,3,2,0.0155
3803,13,26,7,8,0.015465
3806,13,26,12,13,0.015465
6013,26,14,7,8,0.015465
1420,4,19,8,1,0.015465
868,3,3,1,14,0.015465
1371,4,11,5,6,0.01544
243,1,17,13,9,0.01544
7134,38,15,3,12,0.01538
6272,27,27,12,13,0.01538
7156,38,35,3,12,0.01538
2008,6,9,1,4,0.01538
7108,37,37,2,1,0.01538
6681,32,13,12,13,0.01538
6925,34,34,9,11,0.01538
3464,11,32,7,6,0.01538
4391,16,35,3,3,0.01538
6124,27,1,2,1,0.01533
5006,21,5,3,3,0.01533
1958,6,5,3,2,0.01533
256,1,19,1,2,0.01533
1953,6,5,1,3,0.01533
5459,23,19,1,2,0.015305
4668,18,16,3,3,0.015305
4713,18,24,3,3,0.015305
1933,6,3,3,2,0.01527
135,1,8,6,3,0.01527
1939,6,3,6,7,0.01527
1938,6,3,6,3,0.01527
161,1,10,3,2,0.01527
1026,3,12,12,13,0.01527
4985,21,3,3,3,0.01527
1928,6,3,1,3,0.01527
6694,32,21,5,6,0.01527
6136,27,2,2,1,0.01527
1849,5,26,13,9,0.01527
140,1,8,12,13,0.01527
2915,9,10,1,4,0.01523
4784,19,4,8,1,0.01523
6241,27,19,1,2,0.01523
